topo,seed,agent,indeg,eig,meanV
Scale Free,50,18,4,0.3333,29.272
Scale Free,50,19,0,0.0,29.066
Scale Free,50,20,3,0.25,32.402
Scale Free,50,21,1,0.0833,30.2
Scale Free,50,22,3,0.25,28.848
Scale Free,50,23,6,0.5,29.072
Scale Free,50,24,3,0.25,29.85
Scale Free,50,25,5,0.4167,26.806
Scale Free,50,26,6,0.5,27.784
Scale Free,50,27,6,0.5,27.296
Scale Free,50,28,3,0.25,31.108
Scale Free,50,29,3,0.25,29.658
Scale Free,50,30,7,0.5833,28.298
Scale Free,50,31,3,0.25,29.328
Scale Free,50,32,8,0.6667,25.596
Scale Free,50,33,3,0.25,29.674
